customer_id,customer_name,age,gender,country,email,join_date,total_purchase_usd,rating,segment
1168,Customer_1168,74,Male,Uk,customer_1168@mail.com,2020-05-30,3067.26,3,Standard
1231,Customer_1231,47,Other,Uk,customer_1231@mail.com,2020-01-19,2867.84,1,Standard
1026,Customer_1026,47,Female,Unknown,customer_1026@mail.com,2022-05-07,4536.09,2,Premium
1064,Customer_1064,52,Other,Canada,customer_1064@mail.com,2021-12-22,3299.83,1,Premium
1010,Customer_1010,46,Female,India,customer_1010@mail.com,2022-09-22,1212.43,2,Basic
1111,Customer_1111,59,Male,Unknown,customer_1111@mail.com,2023-12-28,1906.56,4,Standard
1187,Customer_1187,73,Female,Uk,customer_1187@mail.com,2021-06-27,122.7,1,Standard
1144,Customer_1144,47,Female,Usa,customer_1144@mail.com,2020-05-29,1602.5,2,Standard
1245,Customer_1245,68,Male,Uk,customer_1245@mail.com,2021-04-27,3926.4,1,Premium
1225,Customer_1225,64,Male,Canada,customer_1225@mail.com,2020-07-02,844.59,4,Premium
1091,Customer_1091,60,Other,India,customer_1091@mail.com,2024-06-28,2719.72,4,Premium
1077,Customer_1077,18,Female,Germany,customer_1077@mail.com,2024-03-02,3489.21,1,Basic
1083,Customer_1083,52,Other,Uk,customer_1083@mail.com,2021-10-19,422.6,1,Basic
1241,Customer_1241,56,Male,India,customer_1241@mail.com,2022-11-21,4061.33,4,Premium
1173,Customer_1173,50,Unknown,India,customer_1173@mail.com,2024-03-26,3736.8,1,Basic
1120,Customer_1120,21,Female,Uk,customer_1120@mail.com,2020-05-31,2789.36,3,Basic
1203,Customer_1203,72,Male,India,customer_1203@mail.com,2021-09-03,2452.53,1,Basic
1078,Customer_1078,49,Unknown,Germany,customer_1078@mail.com,2022-03-02,4142.03,3,Premium
1056,Customer_1056,73,Other,Canada,customer_1056@mail.com,2023-01-19,2484.05,5,Premium
1105,Customer_1105,33,Male,Germany,customer_1105@mail.com,2022-10-02,3073.19,3,Premium
1204,Customer_1204,30,Male,Germany,customer_1204@mail.com,2021-09-01,1573.89,5,Standard
1212,Customer_1212,50,Female,Uk,customer_1212@mail.com,2022-06-24,715.38,1,Standard
1199,Customer_1199,73,Unknown,Germany,customer_1199@mail.com,2021-10-04,3982.08,5,Premium
1140,Customer_1140,50,Female,Canada,customer_1140@mail.com,2023-08-01,3258.67,1,Basic
1043,Customer_1043,43,Other,Germany,customer_1043@mail.com,2020-10-08,2924.32,5,Standard
1214,Customer_1214,19,Male,Uk,customer_1214@mail.com,2021-07-09,2120.96,1,Basic
1298,Customer_1298,35,Female,Germany,customer_1298@mail.com,2024-02-07,1844.13,3,Basic
1034,Customer_1034,56,Female,India,customer_1034@mail.com,2021-03-30,3247.12,3,Standard
1074,Customer_1074,27,Other,Usa,customer_1074@mail.com,2024-10-31,1778.66,5,Standard
1184,Customer_1184,53,Unknown,Canada,customer_1184@mail.com,2023-10-11,3612.75,1,Standard
1076,Customer_1076,67,Female,Canada,customer_1076@mail.com,2022-01-23,2300.4,5,Basic
1006,Customer_1006,47,Male,Uk,customer_1006@mail.com,2023-10-04,3220.15,5,Premium
1169,Customer_1169,47,Male,Uk,customer_1169@mail.com,2024-04-14,3228.71,5,Premium
1158,Customer_1158,40,Female,Uk,customer_1158@mail.com,2022-10-15,2121.41,1,Standard
1246,Customer_1246,60,Male,Canada,customer_1246@mail.com,2021-11-06,4029.15,1,Basic
1079,Customer_1079,47,Male,India,customer_1079@mail.com,2022-10-13,4958.46,3,Standard
1177,Customer_1177,47,Other,Uk,customer_1177@mail.com,2020-11-01,762.22,2,Premium
1285,Customer_1285,52,Other,Uk,customer_1285@mail.com,2022-08-06,421.28,1,Standard
1223,Customer_1223,18,Male,Uk,customer_1223@mail.com,2021-02-12,2051.58,2,Standard
1085,Customer_1085,53,Male,Germany,customer_1085@mail.com,2023-05-19,4886.87,4,Basic
1008,Customer_1008,63,Other,Usa,customer_1008@mail.com,2020-02-07,2047.21,5,Basic
1194,Customer_1194,69,Male,Canada,customer_1194@mail.com,2022-04-25,3289.97,5,Standard
1286,Customer_1286,21,Male,Germany,customer_1286@mail.com,2022-02-15,3248.07,2,Standard
1282,Customer_1282,47,Other,Uk,customer_1282@mail.com,2023-01-05,4411.92,5,Standard
1047,Customer_1047,49,Male,Germany,customer_1047@mail.com,2020-09-06,4717.89,3,Standard
1004,Customer_1004,47,Male,Germany,customer_1004@mail.com,2023-12-22,3396.96,1,Basic
1261,Customer_1261,29,Other,Germany,customer_1261@mail.com,2023-03-01,386.83,1,Premium
1195,Customer_1195,74,Unknown,Uk,customer_1195@mail.com,2024-05-06,3689.57,1,Premium
1227,Customer_1227,41,Other,India,customer_1227@mail.com,2020-12-24,173.15,4,Standard
1178,Customer_1178,34,Female,India,customer_1178@mail.com,2020-10-13,2419.03,1,Premium
1058,Customer_1058,45,Female,Germany,customer_1058@mail.com,2024-11-23,2484.05,5,Standard
1095,Customer_1095,55,Female,India,customer_1095@mail.com,2023-03-07,4106.3,5,Standard
1290,Customer_1290,47,Other,India,customer_1290@mail.com,2024-12-14,484.97,1,Basic
1046,Customer_1046,38,Male,Germany,customer_1046@mail.com,2020-08-15,1236.19,5,Premium
1018,Customer_1018,56,Male,Uk,customer_1018@mail.com,2022-01-16,1861.68,4,Basic
1186,Customer_1186,75,Female,Usa,customer_1186@mail.com,2024-01-25,2484.05,3,Basic
1269,Customer_1269,75,Female,India,customer_1269@mail.com,2020-04-28,4252.03,4,Basic
1061,Customer_1061,53,Female,India,customer_1061@mail.com,2021-12-07,1101.41,4,Standard
1025,Customer_1025,22,Male,Uk,customer_1025@mail.com,2021-07-31,1092.91,1,Basic
1115,Customer_1115,26,Other,Germany,customer_1115@mail.com,2023-03-18,779.84,1,Premium
1211,Customer_1211,35,Other,Germany,customer_1211@mail.com,2021-08-12,593.58,5,Standard
1149,Customer_1149,63,Unknown,India,customer_1149@mail.com,2020-09-24,1007.0,1,Basic
1164,Customer_1164,18,Other,Canada,customer_1164@mail.com,2024-12-12,3511.16,1,Premium
1259,Customer_1259,67,Male,Canada,customer_1259@mail.com,2020-06-16,719.44,1,Basic
1133,Customer_1133,49,Other,Canada,customer_1133@mail.com,2022-10-26,4721.67,1,Standard
1235,Customer_1235,47,Other,Uk,customer_1235@mail.com,2022-08-16,1100.52,1,Standard
1176,Customer_1176,47,Other,Usa,customer_1176@mail.com,2021-11-13,3400.98,3,Standard
1233,Customer_1233,43,Male,Uk,customer_1233@mail.com,2023-08-06,2714.8,1,Standard
1125,Customer_1125,31,Female,Germany,customer_1125@mail.com,2024-11-13,3898.05,2,Standard
1102,Customer_1102,31,Male,Uk,customer_1102@mail.com,2023-02-24,1735.84,1,Standard
1110,Customer_1110,21,Unknown,Usa,customer_1110@mail.com,2021-08-17,936.83,4,Premium
1255,Customer_1255,62,Male,Usa,customer_1255@mail.com,2023-05-25,3282.92,1,Premium
1159,Customer_1159,74,Female,Canada,customer_1159@mail.com,2022-03-16,2250.84,2,Standard
1032,Customer_1032,35,Female,Canada,customer_1032@mail.com,2021-07-12,1204.26,3,Basic
1263,Customer_1263,21,Other,Usa,customer_1263@mail.com,2023-01-04,3751.51,1,Standard
1196,Customer_1196,29,Male,Germany,customer_1196@mail.com,2024-11-22,2253.38,1,Standard
1147,Customer_1147,54,Female,India,customer_1147@mail.com,2024-10-30,1408.7,1,Basic
1219,Customer_1219,56,Female,Uk,customer_1219@mail.com,2021-11-07,3100.86,1,Standard
1094,Customer_1094,32,Other,Uk,customer_1094@mail.com,2021-04-28,729.52,1,Premium
1138,Customer_1138,47,Male,Germany,customer_1138@mail.com,2023-08-06,4312.37,1,Basic
1060,Customer_1060,47,Female,Canada,customer_1060@mail.com,2020-02-03,2484.05,1,Basic
1117,Customer_1117,73,Female,Unknown,customer_1117@mail.com,2020-06-25,4715.37,5,Standard
1007,Customer_1007,19,Other,Uk,customer_1007@mail.com,2023-10-05,2627.07,1,Standard
1197,Customer_1197,39,Female,Usa,customer_1197@mail.com,2022-11-28,32.21,4,Standard
1031,Customer_1031,40,Female,Germany,customer_1031@mail.com,2021-08-06,3521.81,4,Premium
1023,Customer_1023,74,Female,Uk,customer_1023@mail.com,2021-02-01,2484.05,2,Standard
1273,Customer_1273,46,Female,Canada,customer_1273@mail.com,2020-04-02,2741.08,3,Standard
1289,Customer_1289,62,Male,India,customer_1289@mail.com,2023-09-14,2151.86,1,Premium
1057,Customer_1057,47,Male,Germany,customer_1057@mail.com,2020-10-08,252.09,5,Basic
1166,Customer_1166,60,Female,India,customer_1166@mail.com,2022-03-31,555.75,2,Standard
1119,Customer_1119,72,Other,India,customer_1119@mail.com,2024-04-24,445.61,2,Basic
1205,Customer_1205,47,Unknown,Uk,customer_1205@mail.com,2023-11-14,1968.79,2,Premium
1082,Customer_1082,49,Unknown,Usa,customer_1082@mail.com,2023-05-18,3187.37,1,Premium
1146,Customer_1146,47,Female,Canada,customer_1146@mail.com,2021-11-27,3912.05,2,Premium
1040,Customer_1040,71,Male,Usa,customer_1040@mail.com,2020-10-08,2484.05,1,Standard
1220,Customer_1220,25,Male,Canada,customer_1220@mail.com,2020-10-08,4759.69,1,Premium
1148,Customer_1148,34,Other,Germany,customer_1148@mail.com,2024-10-28,1831.43,4,Standard
1182,Customer_1182,47,Female,Uk,customer_1182@mail.com,2023-12-22,3923.51,1,Basic
1109,Customer_1109,47,Female,Canada,customer_1109@mail.com,2023-12-24,2769.66,1,Premium
1270,Customer_1270,71,Female,Uk,customer_1270@mail.com,2024-07-10,1994.6,1,Premium
1067,Customer_1067,28,Male,India,customer_1067@mail.com,2022-09-07,2484.05,2,Standard
1198,Customer_1198,44,Male,Uk,customer_1198@mail.com,2023-09-18,1398.94,4,Standard
1019,Customer_1019,20,Female,Uk,customer_1019@mail.com,2023-06-04,4148.74,5,Basic
1185,Customer_1185,26,Other,Germany,customer_1185@mail.com,2023-04-10,345.2,1,Standard
1114,Customer_1114,30,Unknown,Uk,customer_1114@mail.com,2022-10-08,1906.2,1,Basic
1020,Customer_1020,52,Male,Germany,customer_1020@mail.com,2024-05-24,2484.05,1,Standard
1183,Customer_1183,71,Female,Canada,customer_1183@mail.com,2024-07-28,1748.02,1,Premium
1093,Customer_1093,46,Female,India,customer_1093@mail.com,2022-06-16,88.13,1,Premium
1080,Customer_1080,33,Male,Usa,customer_1080@mail.com,2024-06-20,168.11,2,Standard
1221,Customer_1221,54,Unknown,Canada,customer_1221@mail.com,2023-02-01,983.69,1,Standard
1153,Customer_1153,66,Other,Usa,customer_1153@mail.com,2022-02-25,3990.45,1,Basic
1073,Customer_1073,50,Female,India,customer_1073@mail.com,2020-03-15,3102.71,1,Premium
1097,Customer_1097,22,Female,India,customer_1097@mail.com,2022-01-31,2837.81,1,Standard
1016,Customer_1016,23,Other,India,customer_1016@mail.com,2024-08-29,1658.01,1,Premium
1112,Customer_1112,47,Female,Usa,customer_1112@mail.com,2022-11-07,1483.94,1,Premium
1011,Customer_1011,69,Other,Uk,customer_1011@mail.com,2020-10-08,4289.13,4,Basic
1181,Customer_1181,25,Other,India,customer_1181@mail.com,2022-11-04,1748.16,3,Standard
1070,Customer_1070,66,Male,India,customer_1070@mail.com,2024-12-19,2158.56,1,Standard
1098,Customer_1098,21,Male,Usa,customer_1098@mail.com,2023-03-21,3388.4,3,Basic
1296,Customer_1296,69,Unknown,Usa,customer_1296@mail.com,2024-05-08,1152.44,2,Basic
1069,Customer_1069,34,Female,Unknown,customer_1069@mail.com,2021-02-16,2516.06,4,Premium
1256,Customer_1256,43,Other,Uk,customer_1256@mail.com,2023-01-29,672.13,5,Premium
1038,Customer_1038,58,Male,Uk,customer_1038@mail.com,2021-10-14,1607.96,3,Basic
1127,Customer_1127,42,Male,Canada,customer_1127@mail.com,2020-11-27,1221.29,2,Premium
1017,Customer_1017,40,Female,Usa,customer_1017@mail.com,2020-12-05,2484.05,2,Standard
1229,Customer_1229,57,Unknown,Germany,customer_1229@mail.com,2022-03-24,2832.6,2,Premium
1248,Customer_1248,70,Female,Usa,customer_1248@mail.com,2022-01-06,850.2,3,Standard
1126,Customer_1126,75,Female,Canada,customer_1126@mail.com,2022-11-27,2802.09,1,Standard
1087,Customer_1087,45,Female,India,customer_1087@mail.com,2024-01-28,1156.53,5,Standard
1232,Customer_1232,60,Female,Canada,customer_1232@mail.com,2020-08-07,2720.1,5,Premium
1145,Customer_1145,56,Female,Unknown,customer_1145@mail.com,2022-05-01,3168.18,1,Basic
1272,Customer_1272,65,Other,Germany,customer_1272@mail.com,2024-03-07,1621.1,2,Premium
1141,Customer_1141,29,Male,Usa,customer_1141@mail.com,2023-07-08,1509.17,4,Basic
1234,Customer_1234,53,Male,Usa,customer_1234@mail.com,2024-12-26,3802.42,1,Basic
1300,Customer_1300,60,Male,Germany,customer_1300@mail.com,2024-11-29,4373.74,1,Premium
1209,Customer_1209,39,Other,Canada,customer_1209@mail.com,2022-03-19,2954.94,1,Premium
1207,Customer_1207,32,Female,India,customer_1207@mail.com,2024-06-16,870.91,2,Premium
1130,Customer_1130,45,Female,Canada,customer_1130@mail.com,2021-05-28,738.21,4,Basic
1039,Customer_1039,32,Female,India,customer_1039@mail.com,2023-08-24,1571.48,1,Standard
